Frame,X,Y
2,,
3,,
4,,
5,,
6,,
7,,
8,977,524
9,927,510
10,,
11,,
12,,
13,1056,546
14,1473,531
15,1469,528
16,1468,526
17,,
18,,
19,1461,514
20,1372,520
21,1385,522
22,,
23,,
24,,
25,1445,508
26,1443,508
27,1440,508
28,,
29,,
30,1434,513
31,1431,512
32,1426,516
33,1311,527
34,,
35,1072,525
36,1072,521
37,,
38,,
39,1071,514
40,1055,533
41,1071,511
42,,
43,1071,508
44,,
45,,
46,1662,540
47,,
48,936,525
49,1068,511
50,1072,511
51,934,525
52,1071,514
53,1072,519
54,,
55,,
56,1071,523
57,,
58,,
59,,
60,,
61,1307,527
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,1165,547
70,,
71,,
72,,
73,1179,544
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,930,525
90,,
91,,
92,1164,536
93,1167,531
94,951,527
95,,
96,,
97,,
98,,
99,906,546
100,,
101,,
102,,
103,,
104,,
105,,
106,1238,506
107,,
108,,
109,,
110,1308,538
111,,
112,,
113,,
114,,
115,,
116,,
117,1242,528
118,928,547
119,1236,529
120,,
121,,
122,,
123,938,547
124,1063,539
125,,
126,1067,542
127,,
128,1076,544
129,1336,523
130,1381,543
131,947,544
132,,
133,,
134,1343,530
135,,
136,1413,530
137,1418,528
138,1425,527
139,1431,526
140,1438,526
141,1442,525
142,,
143,1026,547
144,1461,528
145,,
146,,
147,1212,528
148,1484,534
149,1090,526
150,1498,543
151,1085,524
152,1373,543
153,,
154,,
155,,
156,,
157,,
158,1068,527
159,1546,537
160,1548,531
161,,
162,,
163,,
164,,
165,1191,526
166,1549,508
167,,
168,1547,501
169,,
170,,
171,1102,531
172,1545,491
173,1110,531
174,,
175,,
176,1122,532
177,,
178,1003,528
179,1540,492
180,,
181,,
182,,
183,,
184,,
185,1539,503
186,1539,505
187,996,529
188,,
189,1536,514
190,1535,519
191,1537,526
192,1257,518
193,,
194,1534,538
195,,
196,,
197,,
198,,
199,1328,518
200,,
201,,
202,,
203,1371,525
204,,
205,1192,528
206,1191,528
207,,
208,1194,528
209,,
210,,
211,1198,529
212,,
213,1199,530
214,,
215,,
216,,
217,1206,526
218,,
219,,
220,,
221,861,539
222,856,541
223,,
224,850,540
225,845,539
226,,
227,837,544
228,,
229,,
230,,
231,,
232,,
233,,
234,1366,514
235,,
236,,
237,,
238,,
239,1385,515
240,1388,513
241,,
242,,
243,,
244,,
245,,
246,786,534
247,1416,530
248,858,545
249,,
250,783,528
251,781,527
252,,
253,,
254,,
255,773,527
256,,
257,,
258,770,530
259,,
260,767,533
261,962,530
262,1469,544
263,,
264,,
265,833,540
266,831,534
267,827,530
268,819,522
269,822,520
270,,
271,1650,546
272,,
273,1497,538
274,810,510
275,806,506
276,804,505
277,1505,544
278,,
279,1660,544
280,,
281,,
282,789,504
283,786,504
284,784,503
285,778,505
286,,
287,1531,541
288,,
289,770,513
290,1537,528
291,1299,528
292,760,519
293,,
294,,
295,756,529
296,1547,512
297,,
298,1548,507
299,1548,504
300,,
301,,
302,,
303,,
304,,
305,,
306,1378,546
307,,
308,,
309,990,524
310,993,525
311,1541,504
312,,
313,1220,539
314,,
315,1308,524
316,,
317,,
318,1539,525
319,1539,531
320,1537,532
321,,
322,,
323,,
324,1313,529
325,1072,544
326,1310,527
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,1120,544
337,995,526
338,1128,546
339,,
340,,
341,1295,527
342,,
343,,
344,,
345,,
346,,
347,1290,526
348,,
349,981,526
350,,
351,,
352,,
353,898,617
354,888,624
355,,
356,1278,528
357,875,546
358,925,619
359,,
360,,
361,,
362,,
363,,
364,1267,525
365,,
366,978,525
367,959,530
368,,
369,1194,527
370,,
371,,
372,986,526
373,,
374,,
375,988,526
376,848,539
377,850,538
378,990,524
379,822,639
380,1251,526
381,,
382,,
383,,
384,,
385,,
386,,
387,1242,526
388,,
389,1240,526
390,,
391,,
392,890,545
393,,
394,,
395,,
396,921,621
397,922,634
398,924,643
399,999,526
400,922,625
401,,
402,,
403,1002,525
404,,
405,,
406,,
407,,
408,900,528
409,1470,544
410,1474,551
411,,
412,,
413,1006,525
414,,
415,,
416,,
417,,
418,,
419,,
420,966,517
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,1002,526
429,1199,530
430,,
431,1002,525
432,980,623
433,,
434,1194,528
435,,
436,,
437,,
438,983,625
439,1608,529
440,,
441,,
442,,
443,914,533
444,,
445,,
446,,
447,997,528
448,,
449,1005,575
450,,
451,1005,561
452,1623,540
453,1624,544
454,1102,534
455,1191,528
456,1113,536
457,886,543
458,1119,541
459,,
460,983,563
461,867,537
462,990,570
463,,
464,,
465,,
466,855,543
467,969,625
468,970,637
469,972,648
470,975,663
471,976,658
472,979,648
473,979,639
474,982,632
475,983,625
476,1193,526
477,989,614
478,1657,550
479,991,609
480,,
481,,
482,1487,549
483,,
484,,
485,,
486,817,542
487,817,540
488,984,556
489,826,538
490,,
491,974,530
492,1207,526
493,835,535
494,837,534
495,873,662
496,,
497,954,500
498,952,499
499,949,498
500,,
501,856,543
502,861,544
503,,
504,935,502
505,936,507
506,903,559
507,931,513
508,928,519
509,,
510,,
511,,
512,1222,526
513,,
514,,
515,,
516,1227,524
517,,
518,990,524
519,,
520,913,604
521,,
522,,
523,807,666
524,814,669
525,814,669
526,,
527,909,558
528,,
529,908,551
530,1237,525
531,,
532,,
533,,
534,,
535,917,524
536,,
537,913,514
538,916,508
539,918,507
540,921,504
541,923,497
542,1242,525
543,927,492
544,930,490
545,932,488
546,934,490
547,936,490
548,938,491
549,940,493
550,944,494
551,,
552,949,505
553,953,511
554,956,516
555,,
556,,
557,1054,543
558,967,553
559,972,568
560,975,580
561,979,595
562,983,612
563,989,632
564,991,652
565,994,673
566,998,660
567,1264,532
568,1264,531
569,1835,515
570,999,611
571,,
572,1000,591
573,997,580
574,996,576
575,995,570
576,994,568
577,993,564
578,991,561
579,992,560
580,,
581,880,544
582,981,562
583,984,562
584,869,543
585,867,542
586,,
587,862,541
588,,
589,977,590
590,,
591,,
592,,
593,,
594,1896,564
595,,
596,988,616
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,1018,624
606,1021,624
607,1023,625
608,1026,627
609,1030,626
610,1033,625
611,1035,627
612,1036,627
613,1041,625
614,1043,626
615,1046,626
616,1048,628
617,1052,626
618,809,675
619,1060,627
620,1060,628
621,1062,628
622,1065,627
623,1067,626
624,1071,628
625,1070,629
626,1074,628
627,1078,628
628,1081,627
629,1084,629
630,1272,531
631,1000,604
632,1003,609
633,1091,629
634,1096,632
635,1097,630
636,1002,567
637,1000,553
638,1105,630
639,994,525
640,1106,632
641,1110,630
642,987,496
643,985,487
644,984,483
645,981,478
646,979,472
647,1123,631
648,976,468
649,1127,633
650,973,466
651,1131,633
652,971,467
653,971,468
654,1136,634
655,966,475
656,1140,634
657,963,483
658,961,486
659,1145,632
660,1147,634
661,1149,634
662,1149,634
663,1152,633
664,955,524
665,1156,634
666,952,540
667,1157,633
668,903,535
669,1161,634
670,1163,635
671,1165,635
672,1166,634
673,1168,636
674,1169,635
675,1169,635
676,1171,634
677,1174,634
678,980,693
679,1176,634
680,1177,634
681,1177,634
682,1179,634
683,1179,635
684,1181,634
685,1182,634
686,1183,634
687,1185,636
688,1186,636
689,1187,635
690,899,540
691,1189,636
692,917,545
693,1191,636
694,1191,637
695,888,537
696,1193,635
697,883,538
698,928,544
699,876,541
700,874,540
701,1198,636
702,942,516
703,941,512
704,940,508
705,1052,540
706,1200,637
707,940,502
708,939,499
709,937,499
710,1204,637
711,1203,637
712,935,502
713,936,502
714,936,507
715,847,546
716,933,513
717,1249,531
718,929,524
719,1333,524
720,,
721,1247,530
722,,
723,1246,531
724,1246,530
725,,
726,,
727,912,634
728,910,652
729,910,642
730,907,628
731,909,622
732,907,609
733,907,601
734,905,592
735,903,586
736,903,577
737,903,574
738,901,570
739,901,562
740,901,559
741,,
742,,
743,,
744,1347,547
745,912,519
746,916,508
747,921,502
748,925,496
749,930,490
750,712,541
751,934,484
752,713,605
753,941,481
754,945,480
755,948,481
756,951,483
757,952,486
