Frame,X,Y
432,640,670
433,640,633
434,642,602
435,642,576
436,642,554
437,641,528
438,647,524
439,650,504
617,660,431
618,659,436
619,652,436
620,651,436
621,651,436
622,651,439
623,651,439
624,650,441
625,649,443
626,649,443
627,652,443
628,652,443
629,652,443
630,655,440
631,655,441
632,655,441
633,656,438
634,657,438
635,658,435
636,658,435
637,658,431
638,658,431
639,658,431
640,658,430
641,658,425
642,658,423
643,658,421
