Frame,X,Y
639,1141,478
640,1138,489
641,1174,52
642,1137,507
643,1134,513
644,1182,49
645,1186,45
646,1079,122
647,1189,40
648,1192,40
649,1086,119
650,1127,151
651,1201,36
652,1091,115
653,1132,147
654,1093,111
655,1212,28
656,1060,75
657,1103,110
658,1219,24
659,1108,106
660,1119,520
661,1232,20
662,1234,15
663,1162,133
664,1162,132
665,1242,12
666,1125,98
667,1172,126
668,1130,95
669,1136,92
670,1137,91
671,1139,90
672,1187,118
673,1143,88
674,1098,58
675,1102,56
676,1101,54
677,1154,80
678,1106,53
679,1160,82
680,1114,49
681,1112,50
682,1105,532
683,1122,48
684,1123,47
685,1175,71
686,1179,69
687,1181,68
688,1132,40
689,1188,63
690,1189,63
691,1191,63
692,1195,60
693,1147,34
694,1201,58
695,1206,58
696,1155,33
697,1158,28
698,1159,28
699,1216,52
700,1164,27
701,1282,77
702,1225,48
703,1230,48
704,1234,46
705,1236,43
706,1237,43
707,1188,21
708,1242,40
709,1078,566
710,1317,61
711,1318,61
712,1198,15
713,,
714,73,565
715,1267,31
716,1270,31
717,1275,31
718,1275,28
719,1349,48
720,,
721,1075,562
722,1293,24
723,1296,22
724,1298,23
725,1301,24
726,1037,556
727,1309,21
728,1312,21
729,1315,19
730,1034,557
731,,
732,1405,21
733,1404,20
734,1333,13
735,1335,9
736,,
737,1345,10
738,,
739,1028,548
740,,
741,1022,563
742,,
743,,
744,1033,565
745,1031,564
746,1030,564
747,,
748,,
749,1023,565
750,,
751,,
752,,
753,,
754,1015,548
755,,
756,,
757,1009,549
758,1009,555
759,1007,560
760,,
761,,
762,1004,560
763,1009,562
764,1000,552
765,,
766,,
767,,
768,996,541
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,989,557
781,5,756
782,,
783,73,565
784,71,566
785,70,565
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,1004,566
802,,
803,996,567
804,,
805,,
806,992,560
807,990,553
808,989,548
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,981,558
824,,
825,,
826,,
827,,
828,,
829,,
830,47,461
831,,
832,,
833,,
834,,
835,,
836,,
837,,
838,987,556
839,987,564
840,,
841,985,564
842,986,560
843,986,554
844,987,553
845,,
846,,
847,,
848,,
849,,
850,,
851,,
852,,
853,,
854,,
855,,
856,,
857,,
858,,
859,,
860,,
861,,
862,,
863,,
864,,
865,,
866,,
867,,
868,,
869,,
870,,
871,,
872,,
873,,
874,,
875,,
876,,
877,,
878,,
879,,
880,,
881,,
882,,
883,,
884,,
885,,
886,,
887,,
888,,
889,,
890,,
891,981,513
892,,
893,,
894,,
895,980,485
896,981,482
897,982,477
898,,
899,,
900,,
901,,
902,,
903,,
904,,
905,,
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,995,563
918,,
919,,
920,,
921,994,472
922,977,556
923,985,478
924,971,479
925,958,483
926,943,484
927,928,487
928,987,566
929,897,496
930,879,502
931,861,508
932,839,515
933,822,526
934,799,538
935,776,550
936,751,565
937,724,582
938,694,603
939,664,628
940,634,627
941,606,616
942,576,604
943,541,595
944,505,583
945,466,574
946,423,565
947,374,557
948,322,550
949,,
950,190,540
951,,
952,,
953,189,505
954,,
955,359,470
956,1014,564
957,,
958,,
959,559,435
960,1025,566
961,,
962,648,425
963,,
964,,
965,709,424
966,1024,566
967,1017,561
968,,
969,1013,566
970,,
971,,
972,,
973,,
974,823,438
975,988,567
976,,
977,,
978,,
979,,
980,997,567
981,882,473
982,887,478
983,892,483
984,897,488
985,903,493
986,906,498
987,913,504
988,915,508
989,920,514
990,925,522
991,927,526
992,930,533
993,935,540
994,1006,567
995,941,552
996,945,558
997,949,565
998,,
999,952,568
1000,,
1001,955,558
1002,954,557
1003,959,554
1004,,
1005,,
1006,954,537
1007,960,538
1008,1015,565
1009,962,538
1010,,
1011,,
1012,958,534
1013,954,531
1014,946,529
1015,993,565
1016,,
1017,987,564
1018,922,529
1019,916,532
1020,910,538
1021,,
1022,891,548
1023,,
1024,,
1025,887,557
1026,,
1027,883,561
1028,880,570
1029,,
1030,996,565
1031,994,567
1032,988,565
1033,985,565
1034,,
1035,,
1036,,
1037,,
1038,,
1039,,
1040,,
1041,,
1042,,
1043,,
1044,,
1045,881,593
1046,,
1047,,
1048,978,567
1049,976,565
1050,973,567
1051,969,567
1052,966,568
1053,966,567
1054,,
1055,960,565
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,,
1063,,
1064,,
1065,959,560
1066,,
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,,
1082,,
1083,952,568
1084,,
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,942,568
1094,942,572
1095,942,573
1096,,
1097,,
1098,,
1099,,
1100,,
1101,,
1102,,
1103,,
1104,,
1105,,
1106,,
1107,,
1108,,
1109,933,574
1110,935,575
1111,,
1112,,
1113,,
1114,,
1115,,
1116,,
1117,,
1118,,
1119,,
1120,,
1121,,
1122,,
1123,940,573
1124,,
1125,,
1126,354,411
1127,,
1128,,
1129,,
1130,,
1131,,
1132,,
1133,,
1134,,
1135,,
1136,,
1137,,
1138,,
1139,931,574
1140,931,575
1141,,
1142,,
1143,,
1144,,
1145,,
1146,,
1147,,
1148,,
1149,,
1150,,
1151,,
1152,,
1153,,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,,
1162,,
1163,,
1164,,
1165,,
1166,,
1167,,
1168,,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,,
1180,,
1181,,
